created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
Tue Dec 05 14:45:41 +0000 2023,1732048600925077569,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (8) #JHOPE #제이홉 #호석 #BTS #방탄소년단 https://t.co/DpwjJo1Ujz,46,1,988,3087,en,1324060291903057920,1732048600925077569,amabile_suga,https://twitter.com/amabile_suga/status/1732048600925077569,https://pbs.twimg.com/media/GAl5BKLasAA7PDf.jpg,
Wed Nov 29 06:00:03 +0000 2023,1729741994056933587,#BTS Followers on Spotify:  — 71 312 864 (+25 081) https://t.co/mWQLMEEwEe,1,4,289,885,en,1647085592147292161,1729741994056933587,Bangtan7_Stream,https://twitter.com/Bangtan7_Stream/status/1729741994056933587,https://pbs.twimg.com/media/GAFHK30WoAAeTT2.jpg,1 Admin (ia)
Tue Dec 05 21:29:07 +0000 2023,1732150130730500124,“There are many aspects of me that aren't so serious. I also like making people laugh.” -@BTS_twt Namjoon for 032c magazine  Heh heh… Look at mischievous Nam doing the Bangtan intro when Tae &amp; Jimin were busy nom-nom 😅  #BTS #RM #지민 #Taehyung #V #Jungkook #JK https://t.co/Umw77IESke,5,2,85,368,en,9426092,1732150130730500124,setiogi,https://twitter.com/setiogi/status/1732150130730500124,https://pbs.twimg.com/ext_tw_video_thumb/1732150102641278976/pu/img/1GS4XylcjU8DnnLJ.jpg,"Geneva, SWITZERLAND"
Tue Dec 05 11:02:20 +0000 2023,1731992393266663662,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (7) #JK #정국 #JUNGKOOK #BTS #방탄소년단 https://t.co/nniMxPRU55,16,0,1468,5220,en,1324060291903057920,1731992393266663662,amabile_suga,https://twitter.com/amabile_suga/status/1731992393266663662,https://pbs.twimg.com/media/GAlF5bGbEAAYy-U.jpg,
Tue Dec 05 19:46:43 +0000 2023,1732124360956313635,"BTS Hidden love""  #ChenZheyuan #ZhaoLusiWeiboVision2023 #ZhaoLusiWeiboVision23 #ZhaoLusi  #HiddenLove #CDrama #Drama #BTS https://t.co/g8TbxH5M7d""",0,0,11,57,en,1590556859181563904,1732124360956313635,AlinR98628345,https://twitter.com/AlinR98628345/status/1732124360956313635,https://pbs.twimg.com/ext_tw_video_thumb/1732124304618422273/pu/img/V8fPexnuDeZsuUXm.jpg,"Jakarta Utara, DKI Jakarta"
Tue Dec 05 15:04:23 +0000 2023,1732053311019430299,#BTS: ONCE AGAIN [I'm sorry for my fault but I couldn’t decide on their shipname😞✊] https://t.co/FIOt5VodrL,5,5,46,84,en,1671135846106537984,1732053311019430299,ImpBusinesseu,https://twitter.com/ImpBusinesseu/status/1732053311019430299,https://pbs.twimg.com/ext_tw_video_thumb/1732053220665720832/pu/img/oT4WT-eilW8Nmh87.jpg,Jin's 💜
Tue Dec 05 14:46:37 +0000 2023,1732048836846403751,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (8) #V #뷔 #태형 #BTS #방탄소년단 https://t.co/fFU1h3FeMm,4,3,950,2960,en,1324060291903057920,1732048836846403751,amabile_suga,https://twitter.com/amabile_suga/status/1732048836846403751,https://pbs.twimg.com/media/GAl5O8HawAAyQdK.jpg,
Tue Dec 05 11:21:38 +0000 2023,1731997251713609732,My fav covers . #BTS https://t.co/LNA0FjyzIU,0,16,62,201,en,1512145562841329671,1731997251713609732,xrockwjk,https://twitter.com/xrockwjk/status/1731997251713609732,https://pbs.twimg.com/media/GAlKUTwXoAAqjJu.jpg,NO DM- % he- || bw photos 
Tue Dec 05 06:53:40 +0000 2023,1731929814766862352,#BTS's #V Confirmed To Co-Star In #IU's Upcoming MV  https://t.co/ejQ9ADSXgk https://t.co/riryqmRYXe,160,53,2047,11252,en,17659206,1731929814766862352,soompi,https://twitter.com/soompi/status/1731929814766862352,https://pbs.twimg.com/media/GAkM5TpakAAE4Rv.jpg,
Tue Dec 05 17:56:32 +0000 2023,1732096633913966853,"#BTS's #V (Kim Taehyung) reveals he enlisted in the 'Special Duty Team' anti-terrorism unit to challenge himself and will return buff &amp; strong"" https://t.co/3vipOjLCla""",59,69,1107,6044,en,21366823,1732096633913966853,allkpop,https://twitter.com/allkpop/status/1732096633913966853,,Worldwide
